Industries,State,YEARS,SCORE,INSPECTION DATE
"Transport, Postal and Warehousing",Hawke's Bay,2012,254,4/16/2019
"Transport, Postal and Warehousing",Hawke's Bay,2013,261,7/19/2017
"Transport, Postal and Warehousing",Hawke's Bay,2014,273,4/17/2018
"Transport, Postal and Warehousing",Hawke's Bay,2015,276,7/19/2019
"Transport, Postal and Warehousing",Hawke's Bay,2016,307,3/13/2017
"Transport, Postal and Warehousing",Hawke's Bay,2017,324,2/28/2018
"Information Media, Telecommunications and Other Services",Hawke's Bay,2000,105,12/31/2018
"Information Media, Telecommunications and Other Services",Hawke's Bay,2001,108,11/7/2019
"Information Media, Telecommunications and Other Services",Hawke's Bay,2002,119,6/8/2019
"Information Media, Telecommunications and Other Services",Hawke's Bay,2003,131,8/21/2017
"Information Media, Telecommunications and Other Services",Hawke's Bay,2004,147,5/2/2019
"Information Media, Telecommunications and Other Services",Hawke's Bay,2005,162,8/9/2019
"Information Media, Telecommunications and Other Services",Hawke's Bay,2006,174,4/26/2017
"Information Media, Telecommunications and Other Services",Hawke's Bay,2007,161,5/17/2018
"Information Media, Telecommunications and Other Services",Hawke's Bay,2008,193,10/15/2018
"Information Media, Telecommunications and Other Services",Hawke's Bay,2009,202,11/13/2017
"Information Media, Telecommunications and Other Services",Hawke's Bay,2010,199,6/13/2018
"Information Media, Telecommunications and Other Services",Hawke's Bay,2011,196,4/18/2017
"Information Media, Telecommunications and Other Services",Hawke's Bay,2012,190,5/22/2019
"Information Media, Telecommunications and Other Services",Hawke's Bay,2013,217,6/2/2018
"Information Media, Telecommunications and Other Services",Hawke's Bay,2014,236,8/24/2018
"Information Media, Telecommunications and Other Services",Hawke's Bay,2015,243,4/10/2018
"Information Media, Telecommunications and Other Services",Hawke's Bay,2016,241,2/27/2017
"Information Media, Telecommunications and Other Services",Hawke's Bay,2017,245,10/10/2018
Financial and Insurance Services,Hawke's Bay,2000,65,12/10/2018
Financial and Insurance Services,Hawke's Bay,2001,67,11/18/2019
Financial and Insurance Services,Hawke's Bay,2002,77,5/22/2017
Financial and Insurance Services,Hawke's Bay,2003,83,10/19/2017
Financial and Insurance Services,Hawke's Bay,2004,101,5/1/2018
Financial and Insurance Services,Hawke's Bay,2005,113,8/15/2019
Financial and Insurance Services,Hawke's Bay,2006,118,12/12/2017
Financial and Insurance Services,Hawke's Bay,2007,104,8/3/2017
Financial and Insurance Services,Hawke's Bay,2008,101,5/21/2018
Financial and Insurance Services,Hawke's Bay,2009,142,8/23/2018
Financial and Insurance Services,Hawke's Bay,2010,163,7/12/2019
Financial and Insurance Services,Hawke's Bay,2011,161,3/28/2018
Financial and Insurance Services,Hawke's Bay,2012,151,12/14/2016
Financial and Insurance Services,Hawke's Bay,2013,143,8/31/2017
Financial and Insurance Services,Hawke's Bay,2014,154,7/13/2017
Financial and Insurance Services,Hawke's Bay,2015,162,8/14/2018
Financial and Insurance Services,Hawke's Bay,2016,193,12/20/2017
Financial and Insurance Services,Hawke's Bay,2017,203,7/24/2017
"Rental, Hiring and Real Estate Services",Hawke's Bay,2000,193,5/21/2018
"Rental, Hiring and Real Estate Services",Hawke's Bay,2001,205,6/12/2019
"Rental, Hiring and Real Estate Services",Hawke's Bay,2002,212,4/21/2018
"Rental, Hiring and Real Estate Services",Hawke's Bay,2003,211,7/18/2018
"Rental, Hiring and Real Estate Services",Hawke's Bay,2004,239,2/20/2019
"Rental, Hiring and Real Estate Services",Hawke's Bay,2005,246,7/31/2018
"Rental, Hiring and Real Estate Services",Hawke's Bay,2006,293,1/18/2018
"Rental, Hiring and Real Estate Services",Hawke's Bay,2007,348,1/10/2019
"Rental, Hiring and Real Estate Services",Hawke's Bay,2008,347,3/18/2017
"Rental, Hiring and Real Estate Services",Hawke's Bay,2009,383,10/18/2018
"Rental, Hiring and Real Estate Services",Hawke's Bay,2010,418,11/7/2019
"Rental, Hiring and Real Estate Services",Hawke's Bay,2011,446,12/12/2016
"Rental, Hiring and Real Estate Services",Hawke's Bay,2012,469,12/29/2017
"Rental, Hiring and Real Estate Services",Hawke's Bay,2013,454,2/4/2019
"Rental, Hiring and Real Estate Services",Hawke's Bay,2014,516,3/26/2019
"Rental, Hiring and Real Estate Services",Hawke's Bay,2015,477,8/12/2019
"Rental, Hiring and Real Estate Services",Hawke's Bay,2016,513,5/31/2018
"Rental, Hiring and Real Estate Services",Hawke's Bay,2017,555,9/3/2019
Owner-Occupied Property Operation,Hawke's Bay,2000,264,4/24/2019
Owner-Occupied Property Operation,Hawke's Bay,2001,265,3/20/2019
Owner-Occupied Property Operation,Hawke's Bay,2002,265,11/16/2018
Owner-Occupied Property Operation,Hawke's Bay,2003,273,3/26/2019
Owner-Occupied Property Operation,Hawke's Bay,2004,290,9/22/2016
Owner-Occupied Property Operation,Hawke's Bay,2005,317,11/7/2018
Owner-Occupied Property Operation,Hawke's Bay,2006,350,3/9/2018
Owner-Occupied Property Operation,Hawke's Bay,2007,393,10/12/2017
Owner-Occupied Property Operation,Hawke's Bay,2008,418,12/11/2018
Owner-Occupied Property Operation,Hawke's Bay,2009,418,6/10/2019
Owner-Occupied Property Operation,Hawke's Bay,2010,387,4/25/2018
Owner-Occupied Property Operation,Hawke's Bay,2011,427,10/19/2017
Owner-Occupied Property Operation,Hawke's Bay,2012,446,1/24/2017
Owner-Occupied Property Operation,Hawke's Bay,2013,462,8/7/2019
Owner-Occupied Property Operation,Hawke's Bay,2014,470,10/11/2017
Owner-Occupied Property Operation,Hawke's Bay,2015,477,10/11/2018
Owner-Occupied Property Operation,Hawke's Bay,2016,486,2/4/2019
Owner-Occupied Property Operation,Hawke's Bay,2017,517,10/10/2018
"Professional, Scientific, and Technical Services",Hawke's Bay,2000,130,7/10/2018
"Professional, Scientific, and Technical Services",Hawke's Bay,2001,132,8/15/2018
"Professional, Scientific, and Technical Services",Hawke's Bay,2002,152,3/9/2016
"Professional, Scientific, and Technical Services",Hawke's Bay,2003,188,11/13/2019
"Professional, Scientific, and Technical Services",Hawke's Bay,2004,193,1/10/2019
"Professional, Scientific, and Technical Services",Hawke's Bay,2005,202,12/18/2018
"Professional, Scientific, and Technical Services",Hawke's Bay,2006,198,5/9/2018
"Professional, Scientific, and Technical Services",Hawke's Bay,2007,232,8/10/2017
"Professional, Scientific, and Technical Services",Hawke's Bay,2008,261,6/7/2019
"Professional, Scientific, and Technical Services",Hawke's Bay,2009,292,7/26/2016
"Professional, Scientific, and Technical Services",Hawke's Bay,2010,281,12/15/2016
"Professional, Scientific, and Technical Services",Hawke's Bay,2011,291,3/23/2018
"Professional, Scientific, and Technical Services",Hawke's Bay,2012,278,1/30/2018
"Professional, Scientific, and Technical Services",Hawke's Bay,2013,304,3/12/2019
"Professional, Scientific, and Technical Services",Hawke's Bay,2014,320,12/24/2019
"Professional, Scientific, and Technical Services",Hawke's Bay,2015,318,7/1/2019
"Professional, Scientific, and Technical Services",Hawke's Bay,2016,328,6/12/2018
"Professional, Scientific, and Technical Services",Hawke's Bay,2017,354,12/28/2016
Administrative and Support Services,Hawke's Bay,2000,50,3/1/2018
Administrative and Support Services,Hawke's Bay,2001,50,5/16/2017
Administrative and Support Services,Hawke's Bay,2002,61,2/28/2017
Administrative and Support Services,Hawke's Bay,2003,68,2/27/2019
Administrative and Support Services,Hawke's Bay,2004,74,10/16/2019
Administrative and Support Services,Hawke's Bay,2005,83,5/1/2019
Administrative and Support Services,Hawke's Bay,2006,91,11/6/2019
Administrative and Support Services,Hawke's Bay,2007,119,10/11/2019
Administrative and Support Services,Hawke's Bay,2008,100,4/26/2018
Administrative and Support Services,Hawke's Bay,2009,95,3/28/2019
Administrative and Support Services,Hawke's Bay,2010,109,2/7/2019
Administrative and Support Services,Hawke's Bay,2011,122,10/1/2019
Administrative and Support Services,Hawke's Bay,2012,135,5/13/2019
Administrative and Support Services,Hawke's Bay,2013,140,9/27/2017
Administrative and Support Services,Hawke's Bay,2014,147,2/5/2018
Administrative and Support Services,Hawke's Bay,2015,131,8/27/2019
Administrative and Support Services,Hawke's Bay,2016,148,8/31/2017
Administrative and Support Services,Hawke's Bay,2017,151,4/20/2017
Public Administration and Safety,Hawke's Bay,2000,107,8/31/2018
Public Administration and Safety,Hawke's Bay,2001,110,10/19/2019
Public Administration and Safety,Hawke's Bay,2002,117,11/16/2016
Public Administration and Safety,Hawke's Bay,2003,123,12/5/2016
Public Administration and Safety,Hawke's Bay,2004,127,7/6/2018
Public Administration and Safety,Hawke's Bay,2005,138,2/12/2018
Public Administration and Safety,Hawke's Bay,2006,149,4/15/2019
Public Administration and Safety,Hawke's Bay,2007,174,12/27/2016
Public Administration and Safety,Hawke's Bay,2008,196,10/18/2016
Public Administration and Safety,Hawke's Bay,2009,212,2/20/2018
Public Administration and Safety,Hawke's Bay,2010,209,3/5/2019
Public Administration and Safety,Hawke's Bay,2011,203,3/19/2019
Public Administration and Safety,Hawke's Bay,2012,202,12/4/2018
Public Administration and Safety,Hawke's Bay,2013,208,6/17/2019
Public Administration and Safety,Hawke's Bay,2014,208,12/27/2018
Public Administration and Safety,Hawke's Bay,2015,216,5/9/2018
Public Administration and Safety,Hawke's Bay,2016,220,2/14/2017
Public Administration and Safety,Hawke's Bay,2017,235,11/9/2018
Education and Training,Hawke's Bay,2000,129,3/7/2018
Education and Training,Hawke's Bay,2001,137,8/15/2019
Education and Training,Hawke's Bay,2002,140,4/8/2019
Education and Training,Hawke's Bay,2003,146,10/20/2018
Education and Training,Hawke's Bay,2004,159,3/29/2018
Education and Training,Hawke's Bay,2005,169,10/17/2019
Education and Training,Hawke's Bay,2006,180,4/10/2019
Education and Training,Hawke's Bay,2007,190,11/27/2017
Education and Training,Hawke's Bay,2008,203,8/11/2017
Education and Training,Hawke's Bay,2009,222,8/24/2018
Education and Training,Hawke's Bay,2010,234,6/20/2019
Education and Training,Hawke's Bay,2011,246,12/27/2019
Education and Training,Hawke's Bay,2012,262,4/12/2018
Education and Training,Hawke's Bay,2013,269,9/21/2018
Education and Training,Hawke's Bay,2014,278,9/25/2018
Education and Training,Hawke's Bay,2015,285,4/17/2018
Education and Training,Hawke's Bay,2016,309,6/23/2017
Education and Training,Hawke's Bay,2017,315,8/30/2018
Health Care and Social Assistance,Hawke's Bay,2000,190,9/19/2019
Health Care and Social Assistance,Hawke's Bay,2001,196,1/26/2019
Health Care and Social Assistance,Hawke's Bay,2002,206,8/30/2018
Health Care and Social Assistance,Hawke's Bay,2003,222,11/26/2018
Health Care and Social Assistance,Hawke's Bay,2004,236,8/23/2019
Health Care and Social Assistance,Hawke's Bay,2005,256,8/7/2019
Health Care and Social Assistance,Hawke's Bay,2006,277,12/27/2019
Health Care and Social Assistance,Hawke's Bay,2007,323,8/9/2017
Health Care and Social Assistance,Hawke's Bay,2008,356,11/28/2018
Health Care and Social Assistance,Hawke's Bay,2009,385,10/25/2018
Health Care and Social Assistance,Hawke's Bay,2010,410,7/28/2017
Health Care and Social Assistance,Hawke's Bay,2011,452,10/27/2018
Health Care and Social Assistance,Hawke's Bay,2012,431,12/28/2018
Health Care and Social Assistance,Hawke's Bay,2013,445,10/5/2018
Health Care and Social Assistance,Hawke's Bay,2014,468,12/18/2019
Health Care and Social Assistance,Hawke's Bay,2015,491,2/7/2019
Health Care and Social Assistance,Hawke's Bay,2016,481,8/9/2016
Health Care and Social Assistance,Hawke's Bay,2017,518,4/16/2018
Total All Industries,Hawke's Bay,2000,3386,11/28/2018
Total All Industries,Hawke's Bay,2001,3643,9/9/2019
Total All Industries,Hawke's Bay,2002,3882,8/6/2018
Total All Industries,Hawke's Bay,2003,4090,1/16/2019
Total All Industries,Hawke's Bay,2004,4368,8/3/2016
Total All Industries,Hawke's Bay,2005,4690,3/16/2018
Total All Industries,Hawke's Bay,2006,4814,10/26/2018
Total All Industries,Hawke's Bay,2007,4956,5/28/2019
Total All Industries,Hawke's Bay,2008,4868,4/17/2018
Total All Industries,Hawke's Bay,2009,5074,12/7/2017
Total All Industries,Hawke's Bay,2010,5162,10/2/2018
Total All Industries,Hawke's Bay,2011,5458,1/3/2018
Total All Industries,Hawke's Bay,2012,5570,10/1/2019
Total All Industries,Hawke's Bay,2013,5722,4/9/2018
Total All Industries,Hawke's Bay,2014,6056,7/30/2019
Total All Industries,Hawke's Bay,2015,6149,10/10/2019
Total All Industries,Hawke's Bay,2016,6450,8/10/2017
Total All Industries,Hawke's Bay,2017,6886,10/12/2017
"GST on Production, Import Duties and Other Taxes",Hawke's Bay,2000,253,1/11/2017
"GST on Production, Import Duties and Other Taxes",Hawke's Bay,2001,268,3/5/2018
"GST on Production, Import Duties and Other Taxes",Hawke's Bay,2002,283,1/2/2018
"GST on Production, Import Duties and Other Taxes",Hawke's Bay,2003,312,9/5/2019
"GST on Production, Import Duties and Other Taxes",Hawke's Bay,2004,334,9/10/2019
"GST on Production, Import Duties and Other Taxes",Hawke's Bay,2005,364,12/10/2019
"GST on Production, Import Duties and Other Taxes",Hawke's Bay,2006,376,11/27/2018
"GST on Production, Import Duties and Other Taxes",Hawke's Bay,2007,413,11/10/2018
"GST on Production, Import Duties and Other Taxes",Hawke's Bay,2008,398,10/28/2019
"GST on Production, Import Duties and Other Taxes",Hawke's Bay,2009,407,9/20/2019
"GST on Production, Import Duties and Other Taxes",Hawke's Bay,2010,408,3/9/2018
"GST on Production, Import Duties and Other Taxes",Hawke's Bay,2011,466,5/8/2019
"GST on Production, Import Duties and Other Taxes",Hawke's Bay,2012,510,12/19/2017
"GST on Production, Import Duties and Other Taxes",Hawke's Bay,2013,531,5/6/2019
"GST on Production, Import Duties and Other Taxes",Hawke's Bay,2014,548,12/13/2019
"GST on Production, Import Duties and Other Taxes",Hawke's Bay,2015,562,10/11/2016
"GST on Production, Import Duties and Other Taxes",Hawke's Bay,2016,599,10/23/2017
"GST on Production, Import Duties and Other Taxes",Hawke's Bay,2017,655,3/1/2018
Gross Domestic Product,Hawke's Bay,2000,3640,10/17/2017
Gross Domestic Product,Hawke's Bay,2001,3910,9/3/2019
Gross Domestic Product,Hawke's Bay,2002,4165,9/24/2018
Gross Domestic Product,Hawke's Bay,2003,4401,10/31/2019
Gross Domestic Product,Hawke's Bay,2004,4702,4/11/2019
Gross Domestic Product,Hawke's Bay,2005,5055,5/24/2017
Gross Domestic Product,Hawke's Bay,2006,5190,9/11/2017
Gross Domestic Product,Hawke's Bay,2007,5369,1/23/2018
Gross Domestic Product,Hawke's Bay,2008,5266,1/9/2019
Gross Domestic Product,Hawke's Bay,2009,5481,8/10/2017
Gross Domestic Product,Hawke's Bay,2010,5571,3/16/2018
Gross Domestic Product,Hawke's Bay,2011,5924,12/19/2017
Gross Domestic Product,Hawke's Bay,2012,6081,3/21/2018
Gross Domestic Product,Hawke's Bay,2013,6253,4/18/2019
Gross Domestic Product,Hawke's Bay,2014,6604,6/13/2018
Gross Domestic Product,Hawke's Bay,2015,6711,4/16/2019
Gross Domestic Product,Hawke's Bay,2016,7049,6/26/2018
Gross Domestic Product,Hawke's Bay,2017,7541,1/10/2018
Gross Domestic Product,Hawke's Bay,2018,8070,12/20/2016
Agriculture,Taranaki,2000,459,5/30/2019
Agriculture,Taranaki,2001,615,5/10/2019
Agriculture,Taranaki,2002,723,2/14/2018
Agriculture,Taranaki,2003,423,10/17/2018
Agriculture,Taranaki,2004,498,1/23/2019
Agriculture,Taranaki,2005,478,7/17/2017
Agriculture,Taranaki,2006,394,6/11/2019
Agriculture,Taranaki,2007,456,1/14/2019
Agriculture,Taranaki,2008,775,2/5/2019
Agriculture,Taranaki,2009,529,1/9/2019
Agriculture,Taranaki,2010,668,7/31/2019
Agriculture,Taranaki,2011,853,7/17/2019
Agriculture,Taranaki,2012,789,2/13/2019
Agriculture,Taranaki,2013,666,7/3/2019
Agriculture,Taranaki,2014,992,3/27/2019
Agriculture,Taranaki,2015,499,11/14/2018
Agriculture,Taranaki,2016,426,6/7/2017
Agriculture,Taranaki,2017,852,9/11/2019
"Forestry, Fishing, and Mining",Taranaki,2000,883,3/4/2019
"Forestry, Fishing, and Mining",Taranaki,2001,1017,1/24/2018
"Forestry, Fishing, and Mining",Taranaki,2002,986,3/18/2019
"Forestry, Fishing, and Mining",Taranaki,2003,999,6/17/2019
"Forestry, Fishing, and Mining",Taranaki,2004,878,2/1/2019
"Forestry, Fishing, and Mining",Taranaki,2005,989,6/5/2018
"Forestry, Fishing, and Mining",Taranaki,2006,1030,1/19/2017
"Forestry, Fishing, and Mining",Taranaki,2007,1278,1/30/2019
"Forestry, Fishing, and Mining",Taranaki,2008,3102,8/8/2019
"Forestry, Fishing, and Mining",Taranaki,2009,3127,12/11/2019
"Forestry, Fishing, and Mining",Taranaki,2010,3098,12/10/2019
"Forestry, Fishing, and Mining",Taranaki,2011,3124,10/22/2019
"Forestry, Fishing, and Mining",Taranaki,2012,2851,1/21/2018
"Forestry, Fishing, and Mining",Taranaki,2013,2791,5/7/2019
"Forestry, Fishing, and Mining",Taranaki,2014,2601,9/15/2017
"Forestry, Fishing, and Mining",Taranaki,2015,2689,4/4/2018
"Forestry, Fishing, and Mining",Taranaki,2016,1622,12/24/2019
"Forestry, Fishing, and Mining",Taranaki,2017,1608,7/8/2019
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Taranaki,2000,1193,8/14/2019
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Taranaki,2001,1311,4/20/2018
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Taranaki,2002,1271,8/6/2019
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Taranaki,2003,1401,11/28/2016
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Taranaki,2004,1198,4/25/2019
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Taranaki,2005,1171,1/30/2018
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Taranaki,2006,1354,12/24/2019
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Taranaki,2007,1733,2/22/2019
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Taranaki,2008,3609,4/19/2018
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Taranaki,2009,3588,8/1/2018
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Taranaki,2010,3612,8/15/2016
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Taranaki,2011,3626,6/20/2018
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Taranaki,2012,3381,1/1/1900
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Taranaki,2013,3367,5/6/2019
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Taranaki,2014,3181,3/19/2019
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Taranaki,2015,3185,7/22/2019
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Taranaki,2016,2073,5/10/2018
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Taranaki,2017,2093,4/4/2019
Primary Manufacturing,Taranaki,2000,396,11/25/2019
Primary Manufacturing,Taranaki,2001,784,9/19/2017
Primary Manufacturing,Taranaki,2002,666,7/24/2017
Primary Manufacturing,Taranaki,2003,722,8/29/2018
Primary Manufacturing,Taranaki,2004,633,8/6/2018
Primary Manufacturing,Taranaki,2005,613,8/2/2018
Primary Manufacturing,Taranaki,2006,537,2/7/2018
Primary Manufacturing,Taranaki,2007,648,5/15/2018
Primary Manufacturing,Taranaki,2008,567,12/14/2017
Primary Manufacturing,Taranaki,2009,868,12/23/2016
Primary Manufacturing,Taranaki,2010,397,2/23/2018
Primary Manufacturing,Taranaki,2011,527,10/23/2019
Primary Manufacturing,Taranaki,2012,573,11/16/2018
Primary Manufacturing,Taranaki,2013,648,6/21/2017
Primary Manufacturing,Taranaki,2014,784,8/18/2017
Primary Manufacturing,Taranaki,2015,1061,6/27/2017
Primary Manufacturing,Taranaki,2016,1062,12/14/2019
Primary Manufacturing,Taranaki,2017,763,4/11/2019
Other Manufacturing,Taranaki,2000,158,6/1/2017
Other Manufacturing,Taranaki,2001,139,7/8/2019
Other Manufacturing,Taranaki,2002,160,8/30/2016
Other Manufacturing,Taranaki,2003,165,10/22/2019
Other Manufacturing,Taranaki,2004,174,3/4/2019
Other Manufacturing,Taranaki,2005,166,11/30/2017
Other Manufacturing,Taranaki,2006,186,6/25/2018
Other Manufacturing,Taranaki,2007,206,9/14/2018
Other Manufacturing,Taranaki,2008,243,11/6/2019
Other Manufacturing,Taranaki,2009,276,12/14/2017
Other Manufacturing,Taranaki,2010,285,5/6/2019
Other Manufacturing,Taranaki,2011,260,10/17/2018
Other Manufacturing,Taranaki,2012,294,7/5/2019
Other Manufacturing,Taranaki,2013,300,11/20/2019
Other Manufacturing,Taranaki,2014,303,11/26/2018
Other Manufacturing,Taranaki,2015,288,10/3/2018
Other Manufacturing,Taranaki,2016,271,7/3/2019
Other Manufacturing,Taranaki,2017,254,11/7/2016
Manufacturing,Taranaki,2000,554,4/11/2016
Manufacturing,Taranaki,2001,923,6/5/2018
Manufacturing,Taranaki,2002,826,11/21/2017
Manufacturing,Taranaki,2003,887,3/28/2019
Manufacturing,Taranaki,2004,807,5/9/2017
Manufacturing,Taranaki,2005,779,1/3/2019
Manufacturing,Taranaki,2006,723,9/13/2017
Manufacturing,Taranaki,2007,853,10/27/2016
Manufacturing,Taranaki,2008,810,3/26/2018
Manufacturing,Taranaki,2009,1144,2/26/2019
Manufacturing,Taranaki,2010,682,3/28/2019
Manufacturing,Taranaki,2011,787,8/18/2016
Manufacturing,Taranaki,2012,867,11/28/2018
Manufacturing,Taranaki,2013,949,11/27/2017
Manufacturing,Taranaki,2014,1087,9/12/2017
Manufacturing,Taranaki,2015,1349,10/15/2019
Manufacturing,Taranaki,2016,1333,3/7/2019
Manufacturing,Taranaki,2017,1017,4/27/2017
"Electricity, Gas, Water, and Waste services",Taranaki,2000,310,5/7/2019
"Electricity, Gas, Water, and Waste services",Taranaki,2001,294,8/8/2019
"Electricity, Gas, Water, and Waste services",Taranaki,2002,285,3/20/2018
"Electricity, Gas, Water, and Waste services",Taranaki,2003,402,1/10/2018
"Electricity, Gas, Water, and Waste services",Taranaki,2004,320,1/16/2018
"Electricity, Gas, Water, and Waste services",Taranaki,2005,182,11/14/2018
"Electricity, Gas, Water, and Waste services",Taranaki,2006,325,11/28/2018
"Electricity, Gas, Water, and Waste services",Taranaki,2007,455,1/29/2019
"Electricity, Gas, Water, and Waste services",Taranaki,2008,507,1/16/2018
"Electricity, Gas, Water, and Waste services",Taranaki,2009,461,7/8/2019
"Electricity, Gas, Water, and Waste services",Taranaki,2010,514,5/12/2016
"Electricity, Gas, Water, and Waste services",Taranaki,2011,502,12/12/2016
"Electricity, Gas, Water, and Waste services",Taranaki,2012,531,6/3/2019
"Electricity, Gas, Water, and Waste services",Taranaki,2013,576,3/22/2018
"Electricity, Gas, Water, and Waste services",Taranaki,2014,580,2/20/2019
"Electricity, Gas, Water, and Waste services",Taranaki,2015,496,2/23/2018
"Electricity, Gas, Water, and Waste services",Taranaki,2016,451,2/8/2019
"Electricity, Gas, Water, and Waste services",Taranaki,2017,485,5/28/2019
Construction,Taranaki,2000,125,10/9/2019
Construction,Taranaki,2001,119,7/15/2017
Construction,Taranaki,2002,133,8/22/2018
Construction,Taranaki,2003,145,6/27/2018
Construction,Taranaki,2004,165,2/21/2017
Construction,Taranaki,2005,205,11/6/2017
Construction,Taranaki,2006,202,6/20/2019
Construction,Taranaki,2007,220,1/30/2017
Construction,Taranaki,2008,267,8/27/2019
Construction,Taranaki,2009,377,8/17/2018
Construction,Taranaki,2010,317,8/7/2017
Construction,Taranaki,2011,304,4/24/2019
Construction,Taranaki,2012,316,8/10/2019
Construction,Taranaki,2013,313,7/10/2018
Construction,Taranaki,2014,338,11/26/2018
Construction,Taranaki,2015,347,5/9/2018
Construction,Taranaki,2016,364,11/2/2019
Construction,Taranaki,2017,375,10/10/2019
Wholesale Trade,Taranaki,2000,112,11/7/2019
Wholesale Trade,Taranaki,2001,194,8/7/2019
Wholesale Trade,Taranaki,2002,206,7/14/2017
Wholesale Trade,Taranaki,2003,59,2/7/2019
Wholesale Trade,Taranaki,2004,120,8/25/2018
Wholesale Trade,Taranaki,2005,100,6/14/2016
Wholesale Trade,Taranaki,2006,104,10/26/2017
Wholesale Trade,Taranaki,2007,107,8/8/2018
Wholesale Trade,Taranaki,2008,127,2/13/2018
Wholesale Trade,Taranaki,2009,134,3/5/2018
Wholesale Trade,Taranaki,2010,139,1/28/2019
Wholesale Trade,Taranaki,2011,134,11/29/2019
Wholesale Trade,Taranaki,2012,124,12/13/2016
Wholesale Trade,Taranaki,2013,148,11/1/2019
Wholesale Trade,Taranaki,2014,171,8/18/2016
Wholesale Trade,Taranaki,2015,170,4/4/2019
Wholesale Trade,Taranaki,2016,172,10/23/2018
Wholesale Trade,Taranaki,2017,169,1/24/2018
Retail Trade,Taranaki,2000,117,6/26/2017
Retail Trade,Taranaki,2001,124,10/18/2018
Retail Trade,Taranaki,2002,143,10/13/2017
Retail Trade,Taranaki,2003,164,12/13/2017
Retail Trade,Taranaki,2004,173,8/14/2019
Retail Trade,Taranaki,2005,173,7/29/2019
Retail Trade,Taranaki,2006,180,8/28/2019
Retail Trade,Taranaki,2007,190,10/25/2016
Retail Trade,Taranaki,2008,197,4/6/2018
Retail Trade,Taranaki,2009,201,1/3/2019
Retail Trade,Taranaki,2010,201,2/16/2017
Retail Trade,Taranaki,2011,204,1/12/2018
Retail Trade,Taranaki,2012,214,1/4/2016
Retail Trade,Taranaki,2013,221,6/19/2019
Retail Trade,Taranaki,2014,233,3/14/2018
Retail Trade,Taranaki,2015,239,8/19/2019
Retail Trade,Taranaki,2016,245,12/28/2017
Retail Trade,Taranaki,2017,260,5/30/2018
Accommodation,Taranaki,2000,12,8/25/2017
Accommodation,Taranaki,2001,14,6/2/2017
Accommodation,Taranaki,2002,15,9/9/2019
Accommodation,Taranaki,2003,15,3/29/2017
Accommodation,Taranaki,2004,18,11/9/2017
Accommodation,Taranaki,2005,21,4/12/2018
Accommodation,Taranaki,2006,22,3/28/2019
Accommodation,Taranaki,2007,20,12/12/2019
Accommodation,Taranaki,2008,22,5/21/2019
Accommodation,Taranaki,2009,21,8/28/2019
Accommodation,Taranaki,2010,20,9/24/2019
Accommodation,Taranaki,2011,19,9/14/2018
Accommodation,Taranaki,2012,28,5/12/2017
Accommodation,Taranaki,2013,22,3/8/2019
Accommodation,Taranaki,2014,26,12/17/2018
Accommodation,Taranaki,2015,24,3/22/2017
Accommodation,Taranaki,2016,25,5/21/2019
Accommodation,Taranaki,2017,25,7/22/2019
Food and beverage services,Taranaki,2000,24,9/4/2019
Food and beverage services,Taranaki,2001,27,1/5/2017
Food and beverage services,Taranaki,2002,28,8/7/2017
Food and beverage services,Taranaki,2003,29,1/11/2018
Food and beverage services,Taranaki,2004,35,8/14/2018
Food and beverage services,Taranaki,2005,40,8/16/2018
Food and beverage services,Taranaki,2006,43,3/7/2019
Food and beverage services,Taranaki,2007,54,4/4/2018
Food and beverage services,Taranaki,2008,60,4/22/2019
Food and beverage services,Taranaki,2009,57,5/29/2018
Food and beverage services,Taranaki,2010,65,10/25/2016
Food and beverage services,Taranaki,2011,61,5/14/2019
Food and beverage services,Taranaki,2012,62,7/23/2019
Food and beverage services,Taranaki,2013,56,10/7/2019
Food and beverage services,Taranaki,2014,63,6/4/2016
Food and beverage services,Taranaki,2015,71,1/25/2018
Food and beverage services,Taranaki,2016,70,10/4/2016
Food and beverage services,Taranaki,2017,79,9/12/2019
"Transport, Postal and Warehousing",Taranaki,2000,105,12/27/2018
